,actor1,actor2,admin1,admin2,admin3,assoc_actor_1,assoc_actor_2,country,data_id,event_date,event_id_cnty,event_id_no_cnty,event_type,fatalities,geo_precision,inter1,inter2,interaction,iso,iso3,latitude,location,longitude,notes,region,source,source_scale,sub_event_type,time_precision,timestamp,year
2263,Unidentified Armed Group (Mali),Civilians (Mali),Gao,Ansongo,Ansongo,,,Mali,6748290,2017-11-06,MLI1735,1735,Explosions/Remote violence,5,2,3,7,37,466,MLI,15.6597,Ansongo,0.5022,"Truck struck by IED 12km from Ansongo, 5 civilians killed and 9 wounded",Western Africa,Menastream,Local partner-New media,Remote explosive/landmine/IED,1,1579637360,2017
2264,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-) Gendarmerie,Segou,Segou,Katiena,,,Mali,6748292,2017-11-05,MLI1732,1732,Battles,0,1,2,1,12,466,MLI,13.2970,Bla,-5.6414,JNIM claimed assault on gendarmerie post in Bla taking control of site and seizing booty.,Western Africa,Menastream,Local partner-New media,Armed clash,1,1579637360,2017
2265,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-),Mopti,Djenne,Kewa,,,Mali,6748293,2017-11-05,MLI1731,1731,Battles,0,2,2,1,12,466,MLI,14.2223,Kouakourou,-4.4959,"Combined FAMa units clashed with militants 12km from Kouakourou, the militants escaped and FAMa recovered two weapons left behind",Western Africa,Menastream,Local partner-New media,Armed clash,1,1579637360,2017
2266,Unidentified Armed Group (Mali),,Kidal,Kidal,Kidal,,,Mali,6748295,2017-11-04,MLI1730,1730,Explosions/Remote violence,0,1,3,0,30,466,MLI,18.4400,Kidal,1.4100,"DETONATION: Detonation not long ago in Kidal, no further details.",Western Africa,Menastream,Local partner-New media,Remote explosive/landmine/IED,1,1579637360,2017
2267,Unidentified Armed Group (Mali),Civilians (Mali),Tombouctou,Tombouctou,Tombouctou,,Students (Mali); Teachers (Mali),Mali,6748296,2017-11-03,MLI1729,1729,Violence against civilians,0,1,3,7,37,466,MLI,16.7705,Timbuktu,-3.0056,"Attempted carjacking this morning in Timbuktu, driver sustained several stab wounds, here teachers & students parade the assailant",Western Africa,Menastream,Local partner-New media,Attack,1,1579637360,2017
2268,Unidentified Armed Group (Mali),Military Forces of Mali (2013-),Gao,Bourem,Bourem,,,Mali,6748298,2017-11-03,MLI1727,1727,Battles,1,2,3,1,13,466,MLI,16.9550,Bourem,-0.3486,Attack on two FAMa checkpoints early this morning in Imboraghane (Bourem) 1 killed and 3 wounded,Western Africa,Menastream,Local partner-New media,Armed clash,1,1579637360,2017
2269,Unidentified Armed Group (Mali),Civilians (Mali),Kidal,Kidal,Kidal,,,Mali,6748300,2017-11-03,MLI1728,1728,Explosions/Remote violence,0,1,3,7,37,466,MLI,18.4400,Kidal,1.4100,"Kidal subjected to mortar/rocket fire (six shells) this morning, still no eventual casualty toll available",Western Africa,Menastream,Local partner-New media,Shelling/artillery/missile attack,1,1579637360,2017
2270,Platform of June 14th 2014 movements,CMA: Coordination of Movements of the Azawad,Kidal,Tessalit,Tessalit,,,Mali,6072322,2017-11-02,MLI1725,1725,Battles,0,2,3,2,23,466,MLI,21.1901,In Khalil,1.0430,CMA post in Inafarag on the Algerian border was attacked by Platform men,Western Africa,Issalan,New media,Armed clash,1,1571164564,2017
2271,Unidentified Armed Group (Mali),Civilians (International),Gao,Ansongo,Bara,,Aid Workers (International),Mali,6748306,2017-11-02,MLI1726,1726,Strategic developments,0,1,3,7,37,466,MLI,15.7745,Tabango,0.3713,Looting: Vehicle belonging to the NGO Premiere Urgence seized by gunmen on motorbikes in Tabango.,Western Africa,Menastream,Local partner-New media,Looting/property destruction,1,1579637360,2017
2272,Unidentified Armed Group (Mali),Civilians (Mali),Gao,Bourem,Tarkint,,ICRC: International Committee of the Red Cross and Red Crescent; Aid Workers (Mali),Mali,6748308,2017-11-01,MLI1724,1724,Strategic developments,0,1,3,7,37,466,MLI,17.3700,Almoustarat,0.0900,"Looting: 2 Red Cross vehicles seized and staff robbed by unknown gunmen overnight in Almoustarat, Gao Region",Western Africa,Menastream,Local partner-New media,Looting/property destruction,1,1579637360,2017
2273,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-),Mopti,Tenenkou,Diafarabe,,,Mali,6748309,2017-10-31,MLI1721,1721,Explosions/Remote violence,5,2,2,1,12,466,MLI,14.1409,Diafarabe,-5.0169,One of the vehicles sent to rescue an MP was struck by an IED on the way back. 5 soldiers dead.,Western Africa,Menastream,Local partner-New media,Remote explosive/landmine/IED,1,1579637360,2017
2274,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Mopti,Tenenkou,Diafarabe,,,Mali,6748310,2017-10-31,MLI1723,1723,Violence against civilians,1,2,2,7,27,466,MLI,14.1409,Diafarabe,-5.0169,Tenenkou MP/High Court president Niang was ambushed by JNIM men between Diafarabe & Dia. The driver was killed in the ambush.,Western Africa,Menastream,Local partner-New media,Attack,1,1579637360,2017
2275,JNIM: Group for Support of Islam and Muslims,MAA: Arab Movement of the Azawad (CMA),Tombouctou,Tombouctou,Tombouctou,,,Mali,6748311,2017-10-31,MLI1722,1722,Battles,0,2,2,2,22,466,MLI,16.7705,Timbuktu,-3.0056,"MAA military chief Heyba Ould Zeyn abducted by JNIM commando this afternoon at the market in Zouera, Tombouctou Region.",Western Africa,Menastream,Local partner-New media,Armed clash,1,1579637360,2017
2276,Unidentified Armed Group (Mali),Military Forces of Mali (2013-),Gao,Ansongo,Ansongo,,,Mali,6748314,2017-10-29,MLI1720,1720,Battles,0,1,3,1,13,466,MLI,15.6597,Ansongo,0.5022,FAMa repelled attack on checkpoint by 3 militants on motorbike at 4h in the morning in Ansongo at the exit of the town towards Menaka,Western Africa,Menastream,Local partner-New media,Armed clash,1,1579637360,2017
2277,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Kidal,Tessalit,Tessalit,,Military Forces of France (2017-),Mali,7021423,2017-10-28,MLI1719,1719,Explosions/Remote violence,0,1,3,8,38,466,MLI,20.2581,Tessalit,0.9905,"In latest MINUSMA briefing, joint MINUSMA/Barkhane base in Tessalit subjected to indirect fire (mortar or rocket) .",Western Africa,Menastream,Local partner-New media,Shelling/artillery/missile attack,1,1585692262,2017
2278,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Kidal,Kidal,Anefif,,,Mali,6748315,2017-10-28,MLI1718,1718,Explosions/Remote violence,0,2,3,8,38,466,MLI,18.0400,Anefis,0.6011,"IED targeting MINUSMA convoy detonated between 2 vehicles in the morning, axis Gao-Anefis. No casualties/damages",Western Africa,Menastream,Local partner-New media,Remote explosive/landmine/IED,1,1579637360,2017
2279,Military Forces of France (2017-),Civilians (Mali),Kidal,Kidal,Kidal,,,Mali,7021434,2017-10-26,MLI1717,1717,Violence against civilians,3,1,8,7,78,466,MLI,18.8000,Tin Bidene,1.9500,"Local activists say Barkhane airstrike hit vehicle, killing three militants in Ti-n-Bidene, between Kidal and Abeibara",Western Africa,Menastream,Local partner-New media,Attack,1,1585692262,2017
2280,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Kidal,Tessalit,Adjelhoc,,,Mali,6748320,2017-10-26,MLI1716,1716,Explosions/Remote violence,4,2,2,8,28,466,MLI,19.4695,Aguelhok,0.8560,"3 peacekeepers killed & 2 wounded by IED/mine explosion against MINUSMA convoy, axis Aguelhok-Tessalit. JNIM claimed the attack on October, 27th. One peacekeeper died of his wounds on November, 21st",Western Africa,Menastream,Local partner-New media,Remote explosive/landmine/IED,1,1579637360,2017
2281,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-) Gendarmerie,Mopti,Koro,Diougani,,,Mali,6748322,2017-10-25,MLI1715,1715,Explosions/Remote violence,0,2,2,1,12,466,MLI,14.3156,Dioungani,-2.7403,"Vehicle of the National Guard struck by IED on the axis Koro-Mondoro, 10km from Dioungani. 2 wounded. JNIM claimed the attack on October, 27th.",Western Africa,Menastream,Local partner-New media,Remote explosive/landmine/IED,1,1579637360,2017
2282,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-),Tombouctou,Niafunke,Soumpi,,,Mali,6748326,2017-10-24,MLI1712,1712,Battles,2,1,2,1,12,466,MLI,15.8436,Soumpi,-4.3255,"Malian army post attacked around midnight in Soumpi, two dead, one wounded and 2-3 vehicles seized/destroyed. 15 SATOM trucks burned.",Western Africa,Menastream,Local partner-New media,Armed clash,1,1579637360,2017
2283,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-),Mopti,Tenenkou,Tenenkou Commune,,,Mali,6748327,2017-10-24,MLI1713,1713,Explosions/Remote violence,0,2,2,1,12,466,MLI,14.4572,Tenenkou,-4.9167,"FAMa vehicle struck by IED, axis Tenenkou-Dia, 2 wounded. Incident follows vast military campaign in the area, yesterday FAMa dispatched a contingent numbering +400 men and +70 vehicles to Tenenkou. JNIM claimed the attack on October, 26th.",Western Africa,Menastream,Local partner-New media,Remote explosive/landmine/IED,1,1579637360,2017
2284,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,Kidal,Kidal,Kidal,,Ansar Dine,Mali,7021457,2017-10-23,MLI1710,1710,Battles,15,1,8,2,28,466,MLI,18.8000,Tin Bidene,1.9500,"15 ""AnsarDine"" members (part of JNIM) killed and captured amidst Barkhane raid in Abeibara area involving both airstrike and ground forces. JNIM says French raid killed 11 Malian soldiers held captive and the 3 guards. France denyed JNIM claims. JNIM's claim was confirmed by France Embassy and Barkhane on November, 1st.",Western Africa,Menastream,Local partner-New media,Armed clash,1,1585692262,2017
2285,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Kidal,Kidal,Kidal,,,Mali,6748330,2017-10-23,MLI1708,1708,Battles,0,1,2,8,28,466,MLI,18.4400,Kidal,1.4100,"IED attack followed by gunfire signalled in Kidal. JNIM claimed damaging a MINUSMA vehicle by IED detonation on October, 26.",Western Africa,Menastream,Local partner-New media,Armed clash,1,1579637360,2017
2286,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-) Gendarmerie,Segou,Baroueli,Gouendo,,,Mali,6748331,2017-10-23,MLI1711,1711,Battles,0,1,2,1,12,466,MLI,12.8292,Dyero,-6.4965,"Gendarmerie post in Dioro Region attacked by unknown gunmen, a vehicle seized. Eventual casualty toll not available. JNIM claimed the attack on October, 26th.",Western Africa,Menastream,Local partner-New media,Armed clash,1,1579637360,2017
2287,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-) Gendarmerie,Segou,Tominian,Ouan,,,Mali,6748332,2017-10-23,MLI1709,1709,Battles,1,1,2,1,12,466,MLI,13.6933,Wa,-4.4005,"The village of Ouan (Cercle of Tominian) also under attack, telecomms cut, one gendarme killed two wounded. JNIM claimed the attack on October, 26th.",Western Africa,Menastream,Local partner-New media,Armed clash,1,1579637360,2017
2288,Military Forces of Niger (2011-),Islamic State (Greater Sahara),Gao,Ansongo,Tin Hama,Military Forces of France (2017-),,Mali,7021469,2017-10-21,MLI1707,1707,Battles,0,2,8,2,28,466,MLI,15.4024,Amalaoulaou,1.2970,"Ayorou attackers reportedly subjected to heavy airstrikes by unidentified fighter jet/s (likely FR Mirage 2000). Casualties also reported without further precisions in Amalawlaw, 85km Ayorou and 15km from the Nigerian border.",Western Africa,Al Akhbar (Egypt); Menastream,Local partner-New media,Armed clash,1,1585692262,2017
2289,CMA: Coordination of Movements of the Azawad,Platform of June 14th 2014 movements,Kidal,Tessalit,Tessalit,,,Mali,6748339,2017-10-20,MLI1706,1706,Battles,1,2,2,3,23,466,MLI,21.1901,In Khalil,1.0430,One killed in clashes between CMA and Platform.,Western Africa,Menastream,Local partner-New media,Armed clash,1,1579637360,2017
2290,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Koulikoro,Nara,Guire,,,Mali,6748341,2017-10-19,MLI1704,1704,Violence against civilians,1,1,2,7,27,466,MLI,14.6432,Guire,-6.6909,"Gendarmerie commander in Guire (Cercle of Nara) abducted and his driver found dead. JNIM claimed the ambush on October, 20th.",Western Africa,Menastream,Local partner-New media,Attack,1,1579637360,2017
2291,Military Forces of Mali (2013-),Civilians (Mali),Mopti,Douentza,Mondoro,,,Mali,6748342,2017-10-19,MLI1705,1705,Violence against civilians,4,1,1,7,17,466,MLI,14.7953,Boulikessi,-1.3181,4 individuals arrested by the Malian army in Boulkessi last Saturday were found to have been executed & buried yesterday by herders.,Western Africa,Menastream,Local partner-New media,Attack,2,1579637360,2017
2292,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-),Mopti,Djenne,Kewa,,,Mali,6748346,2017-10-16,MLI1703,1703,Battles,4,1,2,1,12,466,MLI,14.2223,Kouakourou,-4.4959,"Locals signalled that a Malian army patrol was ambushed by Macina fighters in the Kouakourou forest, 4 reported killed. JNIM claimed the attack on October, 17th.",Western Africa,Menastream,Local partner-New media,Armed clash,1,1579637360,2017
2293,Islamic State (Greater Sahara),MSA: Movement for Azawad Salvation,Gao,Menaka,Menaka,,,Mali,6747563,2017-10-15,MLI1897,1897,Battles,3,2,2,3,23,466,MLI,15.9182,Menaka,2.4022,"On 15 October, presumed ISGS militants raided a camp in the locality of Agawayghaway, about 30km from Menaka, three MSA combatants including a senior commander were killed in the attack, the assailants also seized two vehicles.",Western Africa,Local Source; RFI; Menastream,Local partner-New media,Armed clash,1,1579637357,2017
2294,GATIA: Imghad Tuareg and Allies Self-Defense Group,Fulani Ethnic Militia (Mali),Mopti,Douentza,Hombori,,Pastoralists (Mali),Mali,6748350,2017-10-15,MLI1701,1701,Battles,0,1,3,4,34,466,MLI,15.2790,Hombori,-1.7004,"Position of Fulani self-defense group attacked in Hombori by presumed GATIA, 2 wounded self-defense. Group targeted was established by former Ganda Izo commander Abderrahmane Cisse earlier this year.",Western Africa,Menastream,Local partner-New media,Armed clash,1,1579637360,2017
2295,Military Forces of France (2017-),Civilians (Mali),Kidal,Abeibara,Abeibara,,,Mali,7021528,2017-10-14,MLI1700,1700,Violence against civilians,2,2,8,7,78,466,MLI,19.1167,Abeibara,1.7500,"Two individuals killed in clashes with Barkhane in the area of Tadalok, not far from Abeibara. Both individuals killed are from the same family,",Western Africa,Menastream,Local partner-New media,Attack,1,1585692263,2017
2296,Unidentified Armed Group (Mali),Unidentified Armed Group (Mali),Kidal,Kidal,Kidal,,,Mali,6072324,2017-10-12,MLI1699,1699,Battles,0,1,3,3,33,466,MLI,18.4400,Kidal,1.4100,Several gunshots were heard by locals close to Eastern checkpoint.,Western Africa,Issalan,New media,Armed clash,1,1571164564,2017
2297,Military Forces of Mali (2013-),Islamist Militia (Mali),Koulikoro,Nara,Guire,,,Mali,6748361,2017-10-11,MLI1698,1698,Battles,4,1,1,3,13,466,MLI,14.8841,Boundjiguire,-6.8435,"FAMA killed 4 militants who previously had executed an alleged informer in Boudjiguire, Cercle of Nara, Koulikoro Region",Western Africa,Menastream,Local partner-New media,Armed clash,1,1579637360,2017
2298,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-),Gao,Ansongo,Ouattagouna,,,Mali,6748364,2017-10-10,MLI1697,1697,Battles,1,1,2,1,12,466,MLI,14.9563,Labbezanga,0.6960,"Malian army post attacked in Labbezanga, 1 dead & 6 wounded (2 critical), 1 vehicle + arms seized. JNIM claimed the attack on October, 17th.",Western Africa,Menastream,Local partner-New media,Armed clash,1,1579637360,2017
2299,Military Forces of France (2017-),Civilians (Mali),Kidal,Abeibara,Boghassa,,,Mali,7021555,2017-10-10,MLI1696,1696,Violence against civilians,1,1,8,7,78,466,MLI,20.0200,Boughessa,2.2611,"Barkhane hit Abdollahi Ag Ess's vehicle, who died, in Tifilalen.",Western Africa,Issalan,New media,Attack,1,1585692263,2017
2300,Islamist Militia (Mali),Civilians (Mali),Koulikoro,Nara,Guire,,,Mali,6748365,2017-10-09,MLI1695,1695,Violence against civilians,1,1,3,7,37,466,MLI,14.8841,Boundjiguire,-6.8435,"Militants executed an alleged informer in Boudjiguire, Cercle of Nara, Koulikoro Region",Western Africa,Menastream,Local partner-New media,Attack,1,1579637360,2017
2301,Unidentified Armed Group (Mali),Civilians (Mali),Segou,Tominian,Fangasso,,,Mali,6072329,2017-10-08,MLI1693,1693,Violence against civilians,2,1,3,7,37,466,MLI,13.5287,Fangasso,-4.4456,One Water and Forest agent and one civilian killed in Fangasso,Western Africa,Issalan,New media,Attack,1,1571164564,2017
2302,Rioters (Mali),Military Forces of France (2017-),Kidal,Kidal,Kidal,,,Mali,7021583,2017-10-08,MLI1694,1694,Riots,0,1,5,8,58,466,MLI,18.4400,Kidal,1.4100,Youth throwing stones at Barkhane vehicles patrolling the streets of Kidal,Western Africa,Menastream,Local partner-New media,Violent demonstration,1,1585692263,2017
2303,Islamist Militia (Mali),,Mopti,Koro,Diougani,,,Mali,6748371,2017-10-06,MLI1692,1692,Strategic developments,0,1,3,0,30,466,MLI,14.3156,Dioungani,-2.7403,"Property destruction: Church burned by unknown gunmen (presumably ""jihadists"") in Dounapen, near Dioungani (Koro).",Western Africa,Menastream,Local partner-New media,Looting/property destruction,1,1579637360,2017
2304,Protesters (Mali),,Kidal,Kidal,Kidal,,,Mali,6748372,2017-10-06,MLI1691,1691,Protests,0,1,6,0,60,466,MLI,18.4400,Kidal,1.4100,"Unrest in Kidal, as people took to the streets in continued protests against Barkhane",Western Africa,Menastream,Local partner-New media,Peaceful protest,1,1579637360,2017
2305,Unidentified Armed Group (Mali),Civilians (Mali),Gao,Menaka,Anderamboukane,,,Mali,6072328,2017-10-04,MLI1687,1687,Violence against civilians,1,1,3,7,37,466,MLI,15.4275,Anderamboukane,3.0175,Iboghilitane fraction chief assassinated by armed men 20 km from Anderamboukane.,Western Africa,Issalan,New media,Attack,1,1571164564,2017
2306,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Kidal,Kidal,Kidal,,,Mali,6748375,2017-10-04,MLI1688,1688,Battles,0,1,2,8,28,466,MLI,18.4400,Kidal,1.4100,Presumed JNIM militants aboard 2 pickups attacked a MINUSMA position in Kidal attack repelled,Western Africa,Menastream,Local partner-New media,Armed clash,1,1579637360,2017
2307,Unidentified Armed Group (Mali),Civilians (Mali),Gao,Menaka,Menaka,,,Mali,6748377,2017-10-04,MLI1689,1689,Strategic developments,0,2,3,7,37,466,MLI,15.9182,Menaka,2.4022,"Looting: Unknown gunmen raided a nomad camp in Inhinita, Menaka and seized the livestock.",Western Africa,Menastream,Local partner-New media,Looting/property destruction,1,1579637360,2017
2308,Unidentified Armed Group (Mali),MSA: Movement for Azawad Salvation,Gao,Menaka,Anderamboukane,,,Mali,6748378,2017-10-03,MLI1685,1685,Battles,17,2,3,3,33,466,MLI,15.7970,Tamalat,3.7095,"Renewed clashes between MSA fighters and unknown gunmen in the area of Takadami on the Niger border. MSA claims to have killed 15 assailants (not verified) amidst clashes in Tankademi, acknowledges 2 dead in own ranks.",Western Africa,Menastream,Local partner-New media,Armed clash,1,1579637360,2017
2309,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-) Gendarmerie,Segou,Macina,Sana,,,Mali,6748379,2017-10-03,MLI1686,1686,Explosions/Remote violence,0,2,2,1,12,466,MLI,13.8286,Saye,-4.9953,"A vehicle of the gendarmerie destroyed by IED/mine explosion, 10km from Saye (Ke-Macina), 2 wounded. JNIM claimed the attack on October, 17th.",Western Africa,Menastream,Local partner-New media,Remote explosive/landmine/IED,1,1579637360,2017
2310,Unidentified Armed Group (Mali),MSA: Movement for Azawad Salvation,Gao,Menaka,Anderamboukane,,,Mali,6748381,2017-10-02,MLI1684,1684,Battles,0,1,3,3,33,466,MLI,15.7970,Tamalat,3.7095,"Clashes reported between elements of the MSA and a ""group of bandits"" in the area of Tamalate near the Niger border. No casualties and attackers repelled in Tamalate.",Western Africa,Menastream,Local partner-New media,Armed clash,1,1579637360,2017
2311,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Gao,Menaka,Menaka,,,Mali,6748384,2017-10-01,MLI1683,1683,Explosions/Remote violence,0,2,2,8,28,466,MLI,15.9182,Menaka,2.4022,"MINUSMA vehicle reportedly struck an IED near Adar N'Tikilit, axis Menaka-Ansongo. JNIM claimed the attack on October, 17th.",Western Africa,Menastream,Local partner-New media,Remote explosive/landmine/IED,1,1579637360,2017
2312,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Gao,Ansongo,Talataye,,,Mali,6748387,2017-09-30,MLI1682,1682,Explosions/Remote violence,0,2,2,8,28,466,MLI,16.1506,I-n-Deliman,1.4277,"MINUSMA convoy targeted by IED detonation in the area of In-Fijaren, near In-Delimane, axis Ansongo-Menaka. JNIM claimed the attack on October, 17th.",Western Africa,Menastream,Local partner-New media,Remote explosive/landmine/IED,1,1579637360,2017
2313,Unidentified Armed Group (Mali),Civilians (Mali),Kidal,Kidal,Kidal,,ICRC: International Committee of the Red Cross and Red Crescent; Aid Workers (Mali),Mali,6074240,2017-09-29,MLI1680,1680,Strategic developments,0,1,3,7,37,466,MLI,18.4400,Kidal,1.4100,Looting: A ICRC agent was robbed by armed men on a pick-up.,Western Africa,L'Enfant Touareg,New media,Looting/property destruction,1,1571164567,2017
2314,Islamist Militia (Mali),,Mopti,Djenne,Kewa,,,Mali,6748390,2017-09-29,MLI1681,1681,Strategic developments,0,1,3,0,30,466,MLI,14.2223,Kouakourou,-4.4959,"""Jidahists"" said to have taken over Kanio, Kouakourou. Half population left with the army, those who stayed provided supplies and complied with their demands.",Western Africa,Menastream,Local partner-New media,Non-violent transfer of territory,1,1579637360,2017
2315,Unidentified Armed Group (Mali),Civilians (Mali),Mopti,Djenne,Kewa,,,Mali,5280926,2017-09-28,MLI1678,1678,Violence against civilians,0,2,3,7,37,466,MLI,14.2223,Kouakourou,-4.4959,A Comanav boat was ambushed on the Niger river by unknown assailants. 5 people were wounded and rescued in Kouakourou.,Western Africa,Sahelien,Regional,Attack,1,1561469183,2017
2316,Unidentified Armed Group (Mali),Military Forces of Mali (2013-),Gao,Ansongo,Tin Hama,,,Mali,6072313,2017-09-28,MLI1679,1679,Explosions/Remote violence,2,1,3,1,13,466,MLI,15.7195,Tin Amar,0.8104,A FAMa motorcycle was hit by an IED: 2 men dead.,Western Africa,Issalan,New media,Remote explosive/landmine/IED,1,1571164564,2017
2317,Islamist Militia (Mali),,Mopti,Mopti,Mopti Commune,,,Mali,4697529,2017-09-27,MLI1676,1676,Strategic developments,0,2,3,0,30,466,MLI,14.4891,Mopti,-4.1928,"Property destruction: Reportedly, churches are increasingly targeted by Islamist militias in the centre of Mali. Last week, Dobara's church was stripped of its furnishings that were burnt. Others churches have experienced the same accidents.",Western Africa,AFP,International,Looting/property destruction,2,1552576753,2017
2318,Unidentified Armed Group (Mali),Military Forces of Mali (2013-),Mopti,Koro,Madougou,,,Mali,6072311,2017-09-27,MLI1677,1677,Battles,0,2,3,1,13,466,MLI,14.4138,Gawa,-2.9650,Malian army post in Imboraghane locality in Gawa area was attacked by armed men.,Western Africa,Issalan,New media,Armed clash,1,1571164564,2017
2319,Rioters (Mali),Police Forces of Mali (2013-),Sikasso,Yorosso,Koury,,,Mali,6747521,2017-09-25,MLI1675,1675,Riots,1,1,5,1,15,466,MLI,12.1840,Koury,-4.8028,"Protests against racketeering customs officers & gendarmes turned deadly in Koury: 1 protester shot dead & 2 severely wounded by gendarmes; customs station, gendarmerie, Water & Forest Dept. chief's house burned by the protesters.",Western Africa,Menastream; Mali 24,Local partner-New media,Violent demonstration,1,1579637357,2017
2320,Unidentified Armed Group (Mali),MSA: Movement for Azawad Salvation,Gao,Menaka,Anderamboukane,,,Mali,5280924,2017-09-25,MLI1671,1671,Battles,7,1,3,3,33,466,MLI,15.7970,Tamalat,3.7095,"A MSA checkpoint was attacked by unidentified men: 2 MSA men and 5 assailants killed, several prisoners captured.",Western Africa,Sahelien,Regional,Armed clash,1,1561469183,2017
2321,Islamist Militia (Mali),Civilians (Mali),Mopti,Tenenkou,Kareri,,Health Workers (Mali),Mali,6748400,2017-09-25,MLI1672,1672,Violence against civilians,0,1,3,7,37,466,MLI,14.8252,Dioura,-5.2547,President of communal health organization abducted by presumed jihadists in Dioura,Western Africa,Menastream,Local partner-New media,Abduction/forced disappearance,1,1579637360,2017
2322,Unidentified Armed Group (Mali),Civilians (Mali),Mopti,Douentza,Mondoro,,,Mali,6748402,2017-09-25,MLI1674,1674,Violence against civilians,1,1,3,7,37,466,MLI,14.8628,Godoware,-1.7726,Marabout killed and an apprentice abducted by unknown gunmen in Godoware,Western Africa,Menastream,Local partner-New media,Attack,1,1579637360,2017
2323,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Koulikoro,Nara,Nara,,,Mali,6748403,2017-09-25,MLI1673,1673,Violence against civilians,0,2,2,7,27,466,MLI,15.1687,Nara,-7.2847,"Unknown gunmen abducted three individuals and burned down the gendarmerie post in Mourdiah, Cercle of Nara, Koulikoro Region. JNIM claimed the attack on October, 17th.",Western Africa,Menastream,Local partner-New media,Abduction/forced disappearance,1,1579637360,2017
2324,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Gao,Ansongo,Ansongo,,,Mali,6748406,2017-09-24,MLI1670,1670,Explosions/Remote violence,3,2,3,8,38,466,MLI,15.6597,Ansongo,0.5022,3 peacekeepers killed and 5 others severely wounded in IED/mine attack on axis Ansongo-Gao.,Western Africa,Menastream,Local partner-New media,Remote explosive/landmine/IED,1,1579637360,2017
2325,Unidentified Armed Group (Mali),Police Forces of Mali (2013-) Gendarmerie,Gao,Menaka,Menaka,,,Mali,6748407,2017-09-23,MLI1669,1669,Explosions/Remote violence,0,1,3,1,13,466,MLI,15.9182,Menaka,2.4022,In Menaka an IED/mine exploded in front of the Gendarmerie this morning without causing any victims,Western Africa,Menastream,Local partner-New media,Remote explosive/landmine/IED,1,1579637360,2017
2326,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Kidal,Tessalit,Tessalit,,,Mali,6748408,2017-09-23,MLI1668,1668,Battles,0,1,3,8,38,466,MLI,20.1994,Tabrichat,1.1283,"A MINUSMA convoy was subjected to complex attack (IED+ armed assault) in Tabrichat, axis Almoustarat-Tabankort.",Western Africa,Menastream,Local partner-New media,Armed clash,1,1579637360,2017
2327,Unidentified Armed Group (Mali),Civilians (International),Gao,Menaka,Menaka,,Aid Workers (International),Mali,6072331,2017-09-22,MLI1666,1666,Strategic developments,0,1,3,7,37,466,MLI,15.9182,Menaka,2.4022,Looting: 2 armed men at NGO agents' homes and robbed them.,Western Africa,Issalan,New media,Looting/property destruction,1,1571164564,2017
2328,Islamist Militia (Mali),Civilians (Mali),Mopti,Tenenkou,Togoro Kotia,,,Mali,6748411,2017-09-22,MLI1667,1667,Violence against civilians,0,1,3,7,37,466,MLI,14.6090,Sare-Kina,-4.4928,Islamist militants abducted village chief of Sare-Kina.,Western Africa,Menastream,Local partner-New media,Abduction/forced disappearance,1,1579637360,2017
2329,Unidentified Armed Group (Mali),Military Forces of Mali (2013-),Mopti,Douentza,Mondoro,,,Mali,6748418,2017-09-21,MLI1663,1663,Explosions/Remote violence,0,2,3,1,13,466,MLI,14.7953,Boulikessi,-1.3181,"FAMa vehicle struck by IED in the area of Boulkessi near the Burkina Faso border, 2 Malian soldiers wounded.",Western Africa,Menastream,Local partner-New media,Remote explosive/landmine/IED,1,1579637360,2017
